"Pokemon","Fast Move","Charged Move","DPS","TDO","ER","CP"
"Mega Rayquaza","Dragon Tail","Dragon Ascent","29.698","1122.2","73.63","5713"
"Mega Rayquaza","Air Slash","Dragon Ascent","28.503","1077","70.67","5713"
"Mega Mewtwo Y","Confusion","Psystrike","26.51","914.2","64.24","5610"
"Mega Mewtwo Y","Psycho Cut","Psystrike","26.374","909.5","63.91","5610"
"Mega Mewtwo X","Confusion","Psystrike","25.664","885","62.19","5429"
"Mega Mewtwo X","Psycho Cut","Psystrike","25.542","880.8","61.9","5429"
"Mega Mewtwo Y","Confusion","Psychic","24.713","852.2","59.89","5610"
"Mega Rayquaza","Dragon Tail","Outrage","24.146","912.4","59.87","5713"
"Mega Mewtwo Y","Psycho Cut","Psychic","24.251","836.3","58.77","5610"
"Mega Rayquaza","Dragon Tail","Breaking Swipe","23.52","888.7","58.31","5713"
"Primal Kyogre","Waterfall","Origin Pulse","22.374","1023.8","58.19","5902"
"Primal Groudon","Mud Shot","Precipice Blades","22.358","1023.1","58.15","5902"
"Mega Mewtwo X","Confusion","Psychic","23.924","825","57.97","5429"
"Shadow Mewtwo","Confusion","Psystrike","25.4","662.7","57.41","4178"
"Shadow Mewtwo","Psycho Cut","Psystrike","25.328","660.8","57.24","4178"
"Mega Rayquaza","Air Slash","Outrage","22.979","868.3","56.97","5713"
"Mega Mewtwo X","Psycho Cut","Psychic","23.485","809.9","56.91","5429"
"Primal Groudon","Dragon Tail","Precipice Blades","21.792","997.2","56.68","5902"
"Mega Mewtwo Y","Confusion","Shadow Ball","22.927","790.6","55.56","5610"
"Mega Garchomp","Dragon Tail","Outrage","21.796","910.5","55.41","5424"
"Mega Rayquaza","Dragon Tail","Hurricane","22.324","843.6","55.35","5713"
"Primal Kyogre","Waterfall","Surf","20.987","960.4","54.58","5902"
"Mega Mewtwo X","Confusion","Focus Blast","22.475","775.1","54.46","5429"
"Mega Garchomp","Dragon Tail","Earth Power","21.26","888.1","54.05","5424"
"Mega Rayquaza","Air Slash","Breaking Swipe","21.752","822","53.93","5713"
"Mega Mewtwo X","Confusion","Shadow Ball","22.195","765.4","53.79","5429"
"Mega Mewtwo Y","Psycho Cut","Shadow Ball","22.152","763.9","53.68","5610"
"Rayquaza","Dragon Tail","Dragon Ascent","23.056","674.9","53.63","3835"
"Mega Tyranitar","Bite","Brutal Swing","20.294","983.6","53.55","5347"
